respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.05172341531531898,0.2642420078705366
26708,0.015941841390174297,0.02991183573424168
26709,0.11391765585770387,0.6637421515996279
26710,0.13662645658849526,0.8911305754455536
26711,0.06685305279847645,0.4346661010661325
26712,0.21606555660101262,0.9392711055844777
26713,0.07312326987551984,0.41290379090114554
26714,0.037049786149278806,0.23437879719093357
26715,0.00912581413958041,0.08804107524580698
26716,0.05312241739519118,0.8906476814650234
26717,0.0035936224357641313,0.20945430156834766
26718,0.11942500305239459,0.4865147500581682
26719,0.0450633902758911,0.894366184266975
26720,0.0365155350567817,0.11416453373230327
26721,0.08680334161126745,0.36020404385364385
26722,0.007204716305495273,0.02618257007696845
26723,0.2398700178674966,0.8503544505660706
26724,0.03258456691636781,0.671762900789446
26725,0.010598580717354445,0.0578402877505322
26726,0.005619683444786895,0.01735101543247395
26727,0.07071834244180432,0.8127701829184146
26728,0.08949619493066652,0.5645231845710467
26729,0.045595828747384125,0.33188606232721063
26730,0.015359358853061581,0.163633203672645
26731,0.004846386164459408,0.20365255739985696
26732,0.0351253092269549,0.0517652748172102
26733,0.4552281148218859,0.9522002361627271
26734,0.2916904378715033,0.32010405388676655
26735,0.03643230113124136,0.4543776625501994
26736,0.037503280182280406,0.12916052916031215
26737,0.033120739349402246,0.12324447990415843
26738,0.19227150580021304,0.8536868256532627
26739,0.04756805482390295,0.21382504328990573
26740,0.04194925991306644,0.09552203194447557
26741,0.07049624459101032,0.8893794867272353
26742,0.04066350934587886,0.4442212207576804
26743,0.02264504248608385,0.5588467301429514
26744,0.03735500857349703,0.7154233026135558
26745,0.04014214046331554,0.8943381072402168
26746,0.03632586445651944,0.3557969100948339
26747,0.01408836791945167,0.18225885177445053
26748,0.021772555708605135,0.022446593893213403
26749,0.031506046823421896,0.47937776079412125
26750,0.2034328552178846,0.9121526658841206
26751,0.15082496210914076,0.7159919752121378
26752,0.007865910939487884,0.008908879402011254
26753,0.054617898137026166,0.6594256219176434
26754,0.08060880601188483,0.312443061241377
26755,0.02525191937628687,0.2637812962186493
26756,0.00820090827198154,0.021627209000057657
26757,0.17038581510786377,0.43644963426438543
26758,0.29148543606878585,0.9023138792391656
26759,0.012562356868400099,0.13239356842685773
26760,0.004419505032606523,0.006618260913510361
26761,0.03169435472120151,0.4921652096123716
26762,0.030791789202976993,0.7930289190434766
26763,0.49198675395357966,0.9826426403456651
26764,0.7553277801389063,0.983202618112268
26765,0.021810088007481774,0.5324703995137364
26766,0.0776231067019615,0.14362469353637242
26767,0.489395949493177,0.7666229724588315
26768,0.006285283012244254,0.19071274797517646
26769,0.026422047169999,0.07020379432075828
26770,0.03555907284189508,0.42418637353702465
26771,0.021374793554548435,0.13464277509091846
26772,0.048326496595888425,0.46726552153430184
26773,0.014818311926405231,0.341406871472745
26774,0.023813895412774587,0.3388125856143018
26775,0.0329963239086264,0.5218056858914673
26776,0.11386735291297312,0.23764774450704637
26777,0.04400283401575206,0.8862510023697044
26778,0.021190186948085388,0.08451649833733844
26779,0.0462591711181779,0.47698452809790104
26780,0.09621311744645782,0.9688467482319224
26781,0.010778594981798813,0.3296483841812103
26782,0.013908566602321292,0.2488718468611778
26783,0.008512356262784898,0.18116568658546553
26784,0.19818941237244705,0.9285096702429172
26785,0.11027536854595009,0.543355613282615
26786,0.060103709302425264,0.28150598497067014
26787,0.022202562240808174,0.4027092655574093
26788,0.03887977870633047,0.8522823210068791
26789,0.008567551941925737,0.12496917327747156
26790,0.013045429184032776,0.20933399237859385
26791,0.014070755928123551,0.052849418590802326
26792,0.050653109648222,0.7891404725398605
26793,0.045075379573982964,0.856153234657786
26794,0.3408463987634108,0.9146839642224346
26795,0.04295710207639223,0.9533813985555298
26796,0.015775346318205465,0.038311169107687816
26797,0.08006828278094441,0.48423834177099173
26798,0.024104025262450212,0.05316215205286051
26799,0.08535798722551591,0.18515200584857047
